antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Location_Suburban'}),"frozenset({'Category_Books', 'Gender_Male'})",0.349,0.105,0.051,0.14613180515759314,1.3917314776913632,1.0,0.014355,1.0481711409395973,0.4323664949850908,0.12655086848635236,0.04595732419842809,0.3159230454359394
"frozenset({'Category_Books', 'Gender_Male'})",frozenset({'Location_Suburban'}),0.105,0.349,0.051,0.4857142857142857,1.3917314776913632,1.0,0.014355,1.2658333333333336,0.31449227735787055,0.12655086848635236,0.2100065832784727,0.3159230454359394
frozenset({'Category_Books'}),frozenset({'Interest_Technology'}),0.198,0.186,0.051,0.25757575757575757,1.3848159009449332,1.0,0.014171999999999997,1.0964081632653062,0.3464867243655566,0.15315315315315314,0.08793090611272428,0.26588465298142716
frozenset({'Interest_Technology'}),frozenset({'Category_Books'}),0.186,0.198,0.051,0.27419354838709675,1.384815900944933,1.0,0.014171999999999997,1.1049777777777778,0.34137881196704717,0.15315315315315314,0.09500442442281389,0.26588465298142716
frozenset({'Category_Books'}),"frozenset({'Location_Suburban', 'Gender_Male'})",0.198,0.2,0.051,0.25757575757575757,1.2878787878787878,1.0,0.011399999999999993,1.0775510204081633,0.27871497726272537,0.14697406340057634,0.07196969696969695,0.25628787878787873
"frozenset({'Location_Suburban', 'Gender_Male'})",frozenset({'Category_Books'}),0.2,0.198,0.051,0.25499999999999995,1.2878787878787876,1.0,0.011399999999999993,1.076510067114094,0.2794117647058822,0.14697406340057634,0.07107231920199493,0.25628787878787873
"frozenset({'Category_Books', 'Location_Suburban'})",frozenset({'Gender_Male'}),0.078,0.526,0.051,0.6538461538461539,1.2430535244223457,1.0,0.009971999999999995,1.3693333333333333,0.21207094551486527,0.0922242314647378,0.2697176241480039,0.3754021643755484
"frozenset({'Age_Group_Middle', 'Income_Level_High'})",frozenset({'Category_Electronics'}),0.223,0.209,0.057,0.2556053811659193,1.222992254382389,1.0,0.010393000000000006,1.06260843373494,0.2346632346632348,0.152,0.05891957163833035,0.26416632694659603
frozenset({'Category_Electronics'}),"frozenset({'Age_Group_Middle', 'Income_Level_High'})",0.209,0.223,0.057,0.27272727272727276,1.222992254382389,1.0,0.010393000000000006,1.068375,0.2305099030762749,0.152,0.06399906399906403,0.26416632694659603
frozenset({'Income_Level_Medium'}),frozenset({'Category_Health & Beauty'}),0.229,0.186,0.052,0.22707423580786024,1.2208292247734422,1.0,0.009405999999999998,1.053141242937853,0.23461039608899528,0.14325068870523414,0.05045974914970545,0.25332206414048924
frozenset({'Category_Health & Beauty'}),frozenset({'Income_Level_Medium'}),0.186,0.229,0.052,0.27956989247311825,1.220829224773442,1.0,0.009405999999999998,1.0701940298507462,0.22221697221697218,0.14325068870523414,0.06559000320767606,0.25332206414048924
frozenset({'Interest_Travel'}),frozenset({'Category_Electronics'}),0.196,0.209,0.05,0.25510204081632654,1.2205839273508448,1.0,0.009036000000000002,1.061890410958904,0.2247761194029851,0.14084507042253522,0.05828323744162647,0.24716824528854606
frozenset({'Category_Electronics'}),frozenset({'Interest_Travel'}),0.209,0.196,0.05,0.23923444976076558,1.2205839273508448,1.0,0.009036000000000002,1.0568301886792453,0.22847029077117578,0.14084507042253522,0.053774191244733295,0.24716824528854606
frozenset({'Income_Level_High'}),"frozenset({'Category_Electronics', 'Age_Group_Middle'})",0.505,0.093,0.057,0.11287128712871287,1.2136697540721815,1.0,0.010035000000000002,1.0223995535714285,0.3556618819776715,0.10536044362292053,0.021908806095604052,0.36288725646758224
"frozenset({'Category_Electronics', 'Age_Group_Middle'})",frozenset({'Income_Level_High'}),0.093,0.505,0.057,0.6129032258064516,1.2136697540721815,1.0,0.010035000000000002,1.27875,0.19410433470666746,0.10536044362292053,0.21798631476050834,0.36288725646758224
frozenset({'Category_Books'}),frozenset({'Income_Level_Low'}),0.198,0.266,0.063,0.3181818181818182,1.1961722488038278,1.0,0.010331999999999994,1.0765333333333331,0.2044887780548627,0.15710723192019949,0.07109239534307651,0.27751196172248804
frozenset({'Income_Level_Low'}),frozenset({'Category_Books'}),0.266,0.198,0.063,0.23684210526315788,1.1961722488038276,1.0,0.010331999999999994,1.050896551724138,0.22343324250681187,0.15710723192019949,0.048431552697204325,0.27751196172248804
"frozenset({'Income_Level_High', 'Age_Group_Young'})",frozenset({'Gender_Male'}),0.124,0.526,0.078,0.6290322580645161,1.1958788176131485,1.0,0.012775999999999996,1.2777391304347825,0.18698044725441978,0.13636363636363635,0.21736763304750234,0.38866061572427324
